nct_id,title,status,study_type,intervention_type,phase,locations,start_date,completion_date,enrollment,study_duration_days
NCT01417845,The Effect of Moderate Versus High Intensity Exercise Training on Physical Fitness and Physical Function in Patients With Type 2 Diabetes: A Randomized Clinical Trial,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['NA'],1,2011-09-01,,21.0,5338.0
NCT00105755,Dermal Thermometry and Self-Care of High Risk Diabetic Patients,COMPLETED,INTERVENTIONAL,DEVICE,['NA'],1,2003-01-01,2006-02-01,400.0,1127.0
NCT00111670,"A Randomized, Double-blind Study of the Effect of the DPP-IV Inhibitor on HbA1c and Safety in Patients With Type 2 Diabetes",COMPLETED,INTERVENTIONAL,DRUG,['PHASE2'],40,2005-06-01,2006-07-01,291.0,395.0
NCT01264393,Using a State-Wide Initiative to Disseminate Effective Behavioral Weight Loss Strategies,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['PHASE3'],1,2011-01-01,2013-03-01,500.0,790.0
NCT02923063,"A Randomized, Controlled Trial of Personalized, Home-based Exercise Training on Muscle Mitochondrial Function and Metabolism",COMPLETED,INTERVENTIONAL,BEHAVIORAL,['NA'],1,,,32.0,792.0
NCT01404676,"The Effect of Vildagliptin Based Treatment Versus Sulfonylurea on Glycemic Variability, Oxidative Stress, GLP-1, and Endothelial Function in Patients With Type 2 Diabetes",COMPLETED,INTERVENTIONAL,DRUG,['PHASE4'],1,2010-06-01,2012-05-01,34.0,700.0
NCT06440213,"A Randomized, Double-blind, Placebo-controlled, Parallel Clinical Study to Determine the Safety and Tolerability of a Range of Doses of PeptiControl in Pre-diabetic Individuals.",COMPLETED,INTERVENTIONAL,DIETARY_SUPPLEMENT,['NA'],4,,,132.0,792.0
NCT02862925,Introducing Fetal Scalp Stimulation as an Adjunct to Intermittent Auscultation in Low-Resource Settings.,COMPLETED,INTERVENTIONAL,PROCEDURE,['NA'],1,,,550.0,792.0
NCT02390245,Philadelphia Telemedicine Glaucoma Detection and Follow-Up Study,COMPLETED,INTERVENTIONAL,OTHER,['NA'],1,2014-09-01,2020-08-01,906.0,2161.0
NCT04735640,Effects of a 9-months Nurse-led Telephone Personalized Lifestyle Intervention Versus Automated SMSs on Nutritional and Physical Activity Advice on Glucose Profile in Patients With Prediabetes,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['NA'],1,,,206.0,792.0
NCT06347094,Precision Nutrition to Improve Cardiometabolic Health With Dietary (Poly)Phenols (PRE-CARE-DIET),RECRUITING,INTERVENTIONAL,OTHER,['NA'],2,,,330.0,792.0
NCT02898766,Plasma Glucose and Insulin Response to Two Enteral Formulas in Persons With Type 2 Diabetes Mellitus,COMPLETED,INTERVENTIONAL,OTHER,['NA'],1,2016-08-01,2016-10-01,12.0,61.0
NCT02488213,Effect of Nutritional Counseling Based on Diet Quality on Metabolic Control in Patients With Type 2 Diabetes Mellitus: Randomized Clinical Trial,UNKNOWN,INTERVENTIONAL,OTHER,['NA'],1,2015-01-01,2017-12-01,196.0,1065.0
NCT02180334,The Effect of Combination of Mosapride and Dipeptidyl Peptidase-4 (DPP-4) Inhibitor on Plasma Concentration of Incretin Hormones,COMPLETED,INTERVENTIONAL,DRUG,['PHASE4'],1,2014-07-01,2015-04-01,12.0,274.0
