nct_id,title,status,study_type,intervention_type,phase,locations,start_date,completion_date,enrollment
NCT01417845,The Effect of Moderate Versus High Intensity Exercise Training on Physical Fitness and Physical Function in Patients With Type 2 Diabetes: A Randomized Clinical Trial,COMPLETED,INTERVENTIONAL,"[{'type': 'BEHAVIORAL', 'name': 'High Intensity Exercise Training', 'description': '* High intensity resistance and aerobic training\n* Resistance training is performed 2 days per week for 3 months\n* Aerobic training is performed on the same days as resistance training and 1 additional day per week.', 'armGroupLabels': ['High Intensity Exercise']}, {'type': 'BEHAVIORAL', 'name': 'Moderate Intensity Exercise Training', 'description': '* Moderate intensity resistance and aerobic training\n* Resistance training is performed on 2 days per week for 3 months.\n* Aerobic training is performed on the same days as resistance training and 1 additional day per week.', 'armGroupLabels': ['Moderate Intensity Exercise']}]",['NA'],1,2011-09,,21.0
NCT00105755,Dermal Thermometry and Self-Care of High Risk Diabetic Patients,COMPLETED,INTERVENTIONAL,"[{'type': 'DEVICE', 'name': 'personal dermal thermometer (DT)', 'armGroupLabels': ['Arm 1']}, {'type': 'DEVICE', 'name': 'Device', 'armGroupLabels': ['Arm 1']}]",['NA'],1,2003-01,2006-02,400.0
NCT00111670,"A Randomized, Double-blind Study of the Effect of the DPP-IV Inhibitor on HbA1c and Safety in Patients With Type 2 Diabetes",COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'DPP-IV Inhibitor', 'description': 'Escalating doses po bid or qd', 'armGroupLabels': ['1', '2', '3', '4']}, {'type': 'DRUG', 'name': 'Placebo', 'description': 'po bid or qd', 'armGroupLabels': ['5']}]",['PHASE2'],40,2005-06,2006-07,291.0
NCT01264393,Using a State-Wide Initiative to Disseminate Effective Behavioral Weight Loss Strategies,COMPLETED,INTERVENTIONAL,"[{'type': 'BEHAVIORAL', 'name': 'Shape Up Rhode Island + Online Resources', 'description': 'Participants will receive Shape Up Rhode Island, which is a 12-week statewide physical activity and weight loss campaign in addition to online weight loss resources', 'armGroupLabels': ['Shape Up Rhode Island + Internet Resources']}, {'type': 'BEHAVIORAL', 'name': 'Shape Up Rhode Island + Online Weight Loss Program', 'description': 'Participants will receive Shape Up Rhode Island, a 12-week statewide physical activity and weight loss campaign in addition to an online weight loss program', 'armGroupLabels': ['Shape Up Rhode Island + Online Weight Loss Program']}, {'type': 'BEHAVIORAL', 'name': 'Shape Up Rhode Island + Online Weight Loss Program + Group sessions', 'description': 'Participants will receive Shape Up Rhode Island, a 12-week statewide physical activity and weight loss campaign in addition to an online weight loss program and the option of attending group sessions', 'armGroupLabels': ['Shape Up Rhode Island + Online weight loss program + groups']}]",['PHASE3'],1,2011-01,2013-03,500.0
NCT02923063,"A Randomized, Controlled Trial of Personalized, Home-based Exercise Training on Muscle Mitochondrial Function and Metabolism",COMPLETED,INTERVENTIONAL,"[{'type': 'BEHAVIORAL', 'name': 'Combined Aerobic and Resistance Exercise via videoconferencing', 'description': 'Combined aerobic and resistance exercise session thrice weekly for 12 weeks', 'armGroupLabels': ['Combined Aerobic and Resistance Exercise']}]",['NA'],1,2020-01-16,2025-09-11,32.0
NCT01404676,"The Effect of Vildagliptin Based Treatment Versus Sulfonylurea on Glycemic Variability, Oxidative Stress, GLP-1, and Endothelial Function in Patients With Type 2 Diabetes",COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'Add Vildagliptin', 'description': 'Adding Vildagliptin 50 mg bid to patients with type 2 diabetes mellitus being treated with metformin 500-1000mg bid per day who had hemoglobin A1c of 7.0-10.0%', 'armGroupLabels': ['Vildagliptin + Metformin']}, {'type': 'DRUG', 'name': 'Add Glimepiride', 'description': 'Adding Glimepiride 2mg to patients with type 2 diabetes mellitus being treated with metformin 500-1000mg bid per day who had hemoglobin A1c of 7.0-10.0%', 'armGroupLabels': ['Glimepiride + Metformin']}]",['PHASE4'],1,2010-06,2012-05,34.0
NCT06440213,"A Randomized, Double-blind, Placebo-controlled, Parallel Clinical Study to Determine the Safety and Tolerability of a Range of Doses of PeptiControl in Pre-diabetic Individuals.",COMPLETED,INTERVENTIONAL,"[{'type': 'DIETARY_SUPPLEMENT', 'name': 'PeptiControl™ (Low - Dose 435 mg/day)', 'description': 'Plant protein hydrolysate', 'armGroupLabels': ['PeptiControl™ (Low - Dose 435 mg/day)']}, {'type': 'DIETARY_SUPPLEMENT', 'name': 'PeptiControl™ (Mid - Dose 870 mg/day)', 'description': 'Plant protein hydrolysate', 'armGroupLabels': ['PeptiControl™ (Mid - Dose 870 mg/day)']}, {'type': 'DIETARY_SUPPLEMENT', 'name': 'PeptiControl™ (High - Dose 2610 mg/day)', 'description': 'Plant protein hydrolysate', 'armGroupLabels': ['PeptiControl™ (High - Dose 2610 mg/day)']}, {'type': 'DIETARY_SUPPLEMENT', 'name': 'Placebo Microcrystalline Cellulose', 'description': 'Placebo MCC micro-crystalline cellulose', 'armGroupLabels': ['Placebo Microcrystalline Cellulose']}]",['NA'],4,2024-05-20,2025-02-01,132.0
NCT02862925,Introducing Fetal Scalp Stimulation as an Adjunct to Intermittent Auscultation in Low-Resource Settings.,COMPLETED,INTERVENTIONAL,"[{'type': 'PROCEDURE', 'name': 'Fetal Scalp Stimulation', 'description': 'During a routine vaginal exam, if there is concern for fetal distress based on local definitions, the midwife will gently stroke the fetal head with her finger. She will then observe for a rise in the fetal heart rate as observed by the Doppler monitor. A rise to above 15 beats per minute above the baseline is termed an ""acceleration"" and NEGATIVE test. Absence of an acceleration is a POSITIVE test and reason for intervention.', 'armGroupLabels': ['Post-intervention']}]",['NA'],1,2016-10-01,2017-06-30,550.0
NCT02390245,Philadelphia Telemedicine Glaucoma Detection and Follow-Up Study,COMPLETED,INTERVENTIONAL,"[{'type': 'OTHER', 'name': 'Free Eye Screenings', 'description': 'This group will receive free eye screening and follow-up comprehensive ophthalmic exam if recommended.', 'armGroupLabels': ['Phase 1: Telemedicine Screening Participants']}, {'type': 'OTHER', 'name': 'Enhanced Intervention', 'description': 'This group will receive ophthalmic referral and a navigator for assistance in scheduling appointments; confirming appointments via phone, mail, email and/or text message; arranging transportation through Customized Community Transportation (CCT) and Philadelphia Paratransit Service; and trained medical interpreters as needed.', 'armGroupLabels': ['Phases 2 and 3: Enhanced Intervention Group']}, {'type': 'OTHER', 'name': 'Usual Care', 'description': 'This group will receive ophthalmic referral.', 'armGroupLabels': ['Phases 2 and 3: Usual Care Group']}]",['NA'],1,2014-09,2020-08,906.0
NCT04735640,Effects of a 9-months Nurse-led Telephone Personalized Lifestyle Intervention Versus Automated SMSs on Nutritional and Physical Activity Advice on Glucose Profile in Patients With Prediabetes,COMPLETED,INTERVENTIONAL,"[{'type': 'BEHAVIORAL', 'name': 'nurse-led teleconsultation', 'description': 'Patients assigned to this group will receive personalized dietary and physical activity advice during 9 months. Behavioural goals and action plans will be developed in a stepwise manner in accordance with baseline levels of nutritional and physical activity adherence to recommendations.', 'armGroupLabels': ['Nurse-led teleconsultation group']}, {'type': 'BEHAVIORAL', 'name': 'SMS', 'description': 'Patients assigned to this group will receive a total of 150 text messages (4 to 5 messages per week during weekdays) throughout the intervention period (9 months). The content of the text messages includes advice on diet and exercise.', 'armGroupLabels': ['SMS group']}]",['NA'],1,2021-04-13,2023-12-19,206.0
